,Melhoria/Funcionalidade,Defeito,Tarefa,Defeito do Cliente,Cash,Task,Planejado,Não Planejado,Mobile,Backend,high,frontend,Planejada,Não Planejada,Outros
,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1
,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1
,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1
,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1
,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
